title,link,artist
Seated Female Nude (1957),https://collections.ed.ac.uk/record/20962?highlight=*:*,Isobel Howieson
Hibernation (1987),https://collections.ed.ac.uk/record/21842?highlight=*:*,Alastair Mack
Pair of sleeves,https://collections.ed.ac.uk/record/102676?highlight=*:*,Unknown
Summer Rain (1984),https://collections.ed.ac.uk/record/122727?highlight=*:*,Tom Pow
Reclining Male Nude (06 NOV 1967),https://collections.ed.ac.uk/record/21111?highlight=*:*,Sybil Erskine
Garden of Eden (1987),https://collections.ed.ac.uk/record/21608?highlight=*:*,Unknown
Lucca (1949),https://collections.ed.ac.uk/record/21367?highlight=*:*,J. C. Grant Duncan
Untitled (2007),https://collections.ed.ac.uk/record/99975?highlight=*:*,Matt Carter
Swirlings (1989),https://collections.ed.ac.uk/record/21972?highlight=*:*,Dorothy Black
Unknown (1965),https://collections.ed.ac.uk/record/53597?highlight=*:*,William S. T. Brodie
Riders from West Frieze of the Parthenon (1836-1837),https://collections.ed.ac.uk/record/20667?highlight=*:*,NA
Two Women with Sail Boats,https://collections.ed.ac.uk/record/122757?highlight=*:*,Unknown
John Mooney Paintings (1984),https://collections.ed.ac.uk/record/21846?highlight=*:*,John Mooney
Buildings,https://collections.ed.ac.uk/record/21494?highlight=*:*,J Shore
Still Life with Triumphal Arch (Circa 1958),https://collections.ed.ac.uk/record/122886?highlight=*:*,Alan M. Alexander
Portrait of a Woman (1962),https://collections.ed.ac.uk/record/21297?highlight=*:*,Helen Wishart
Untitled (1946),https://collections.ed.ac.uk/record/21735?highlight=*:*,Vivian Chapman
Standing Male Nude (1964),https://collections.ed.ac.uk/record/21169?highlight=*:*,Kirkland Main
Abstract in Grey and Brown (1994),https://collections.ed.ac.uk/record/122904?highlight=*:*,Paul Dalrymple
Reclining Male Nude (1959),https://collections.ed.ac.uk/record/20923?highlight=*:*,Jean I. Beattie
The Jungle (1990),https://collections.ed.ac.uk/record/99469?highlight=*:*,John Brown
Seated Male Nude (1953),https://collections.ed.ac.uk/record/20897?highlight=*:*,Roy McCallum
Untitled,https://collections.ed.ac.uk/record/111043?highlight=*:*,McArthur
West Coast Seascape (Unknown),https://collections.ed.ac.uk/record/21790?highlight=*:*,Catherine Orbach
Double Portrait (Circa 1981),https://collections.ed.ac.uk/record/123291?highlight=*:*,Elizabeth A. Adamson
Portrait of a Seated Man (MAY 1960),https://collections.ed.ac.uk/record/20996?highlight=*:*,John Gilbert
Portrait of a Woman (1959),https://collections.ed.ac.uk/record/21328?highlight=*:*,Kenneth Dingwall
Unknown (1957),https://collections.ed.ac.uk/record/50602?highlight=*:*,Alejandro B. Brasó
Portrait of a Middle Aged Woman (1949),https://collections.ed.ac.uk/record/22515?highlight=*:*,Leszek Muszynski
Unknown,https://collections.ed.ac.uk/record/53536?highlight=*:*,Unknown
Leprosy Capital (Diptych),https://collections.ed.ac.uk/record/21445?highlight=*:*,Paul J Donaldson
Riders from the West Frieze of the Parthenon (1836-1837),https://collections.ed.ac.uk/record/20671?highlight=*:*,NA
Untitled (Unknown),https://collections.ed.ac.uk/record/21796?highlight=*:*,Susie Wilson
Untitled (Unknown),https://collections.ed.ac.uk/record/99922?highlight=*:*,Unknown
Cow (1920s),https://collections.ed.ac.uk/record/53752?highlight=*:*,Emma Gillies
Woman Wearing Head Cloth in Prayer or Begging,https://collections.ed.ac.uk/record/122965?highlight=*:*,Katherine Ogilvy
Portrait of a Man,https://collections.ed.ac.uk/record/21480?highlight=*:*,Michael Douleny
Seated Female Nude (1959),https://collections.ed.ac.uk/record/20917?highlight=*:*,C Byron
Figure of Dionysos from the Parthenon (east pediment) (1837),https://collections.ed.ac.uk/record/20632?highlight=*:*,Westmacott
Untitled - Sitting Nude Woman (1968),https://collections.ed.ac.uk/record/99475?highlight=*:*,Alastair Burns
Putti with Candelabrum (right group),https://collections.ed.ac.uk/record/20538?highlight=*:*,Unknown
Portrait of a Man in a Suit (1959),https://collections.ed.ac.uk/record/20784?highlight=*:*,Albert Robson
Twist (1989),https://collections.ed.ac.uk/record/21849?highlight=*:*,Dorothy Black
Unknown,https://collections.ed.ac.uk/record/50430?highlight=*:*,Unknown
Female Nude with Pitcher,https://collections.ed.ac.uk/record/20736?highlight=*:*,Samuel John Peploe
The Cape of Good Hope Pub,https://collections.ed.ac.uk/record/21429?highlight=*:*,Ella Smith
Still Life with Torn Paper Collage,https://collections.ed.ac.uk/record/122783?highlight=*:*,Unknown
Untitled (Unknown),https://collections.ed.ac.uk/record/21566?highlight=*:*,Unknown
Untitled (1965),https://collections.ed.ac.uk/record/22496?highlight=*:*,Euphemia (Fay) S. Wright
Still Life Jugs (1957),https://collections.ed.ac.uk/record/122878?highlight=*:*,Beatrice Patricia Grimshaw
Falling Figure in an Autumn Valley (1968),https://collections.ed.ac.uk/record/22589?highlight=*:*,Alistair T. B. Burns
Untitled (Unknown),https://collections.ed.ac.uk/record/21586?highlight=*:*,Unknown
Saucer,https://collections.ed.ac.uk/record/53659?highlight=*:*,Emma Gillies
Pyreneen Vogel (2002),https://collections.ed.ac.uk/record/21806?highlight=*:*,Frances Ryan
Untitled,https://collections.ed.ac.uk/record/111044?highlight=*:*,NA
